region_name,region_type,event_name,tag_genre,tag_target,tag_price,match_score,match_reason
세종특별자치시,시설·행사 부족형,2026 세종한글축제,공연,일반·전문,무료·저비용,8.0,장르=공연; 가격=무료·저비용; 동일 시도
인천광역시 강화군,고령층 교통취약형,강화별밤야행,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
전라남도 강진군,고령층 교통취약형,제4회 강진 수국길 축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
경기도 용인시 수지구,시설·행사 부족형,2026 수원재즈페스티벌,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
전라남도 장흥군,고령층 교통취약형,제19회 정남진 장흥 물축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
전라남도 완도군,고령층 교통취약형,2026 청정완도 가을 섬 여행,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
전북특별자치도 군산시,고령층 교통취약형,제5회 군산짬뽕페스티벌,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
경상북도 청도군,고령층 교통취약형,청도반시축제,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
서울특별시 양천구,시설·행사 부족형,늘근도둑이야기,공연,일반·전문,유료,8.0,장르=공연; 동일 시도 (16.1km)
대구광역시 달성군,시설·행사 부족형,대구생활문화제,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
경기도 성남시 분당구,시설·행사 부족형,2026 수원화성 미디어아트,공연,일반·전문,무료·저비용,8.0,장르=공연; 가격=무료·저비용; 동일 시도
경상남도 창원시 마산합포구,고령층 교통취약형,제75회 개천예술제,공연,일반·전문,무료·저비용,11.5,가격=무료·저비용; 시간대=주간; 장르=공연; 동일 시도
인천광역시 옹진군,고령층 교통취약형,주섬주섬 음악회,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
경상북도 포항시 북구,고령층 교통취약형,2026 상반기 예주생활문화센터 문화강좌,체험·교육,고령친화,무료·저비용,13.5,대상=고령친화; 가격=무료·저비용; 시간대=주간; 장르=체험·교육; 동일 시도
경상남도 창원시 마산회원구,고령층 교통취약형,2026경남고성공룡세계엑스포,공연,일반·전문,무료·저비용,11.5,가격=무료·저비용; 시간대=주간; 장르=공연; 동일 시도
전라남도 고흥군,고령층 교통취약형,Songs Echo Memories,전시,일반·전문,무료·저비용,12.5,가격=무료·저비용; 시간대=주간; 장르=전시; 동일 시군구 (38.0km)
전라남도 보성군,고령층 교통취약형,제18회 감쪽같은 보성전어축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
부산광역시 북구,고령층 교통취약형,제13회 낙동강 구포나루 축제,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
충청북도 단양군,고령층 교통취약형,제28회 단양 온달문화축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
강원특별자치도 횡성군,고령층 교통취약형,제22회 횡성한우축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
경상남도 산청군,고령층 교통취약형,ON산청 빛나는 여름밤 페스티벌,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
충청남도 청양군,고령층 교통취약형,2026 청양 고추구기자 축제(27회),체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
경상남도 고성군,고령층 교통취약형,고성가리비수산물축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
전북특별자치도 고창군,고령층 교통취약형,고창갯벌축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
강원특별자치도 철원군,고령층 교통취약형,DMZ 피스트레인 뮤직페스티벌 2026,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
경상남도 창원시 의창구,고령층 교통취약형,제42회 대야문화제,공연,일반·전문,무료·저비용,11.5,가격=무료·저비용; 시간대=주간; 장르=공연; 동일 시도
경기도 고양시 일산서구,시설·행사 부족형,2026 행주가 예술이야,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
대구광역시 군위군,고령층 교통취약형,제5회 군위 바비큐 축제,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
전북특별자치도 전주시 덕진구,시설·행사 부족형,2026 전주문화유산야행,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
경기도 군포시,시설·행사 부족형,2026 성남페스티벌,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
전북특별자치도 부안군,고령층 교통취약형,2026 부안붉은노을축제,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
경상남도 거창군,고령층 교통취약형,제36회 거창국제연극제,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
경상북도 봉화군,고령층 교통취약형,제28회 봉화은어축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
경기도 가평군,고령층 교통취약형,2026 Colorful Garden 자라섬 꽃 페스타(봄),공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
경상남도 하동군,고령층 교통취약형,"하동을 먹다, 하동별맛축제",체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
경상남도 창녕군,고령층 교통취약형,제40회 비사벌문화제,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
경기도 화성시 동탄구,시설·행사 부족형,제29회 부천국제만화축제,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
광주광역시 광산구,시설·행사 부족형,제4회 광산뮤직ON페스티벌,공연,일반·전문,무료·저비용,9.0,장르=공연; 가격=무료·저비용; 동일 시군구
경상남도 합천군,고령층 교통취약형,2026 대장경기록문화축제,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
전북특별자치도 장수군,고령층 교통취약형,제20회 장수한우랑사과랑축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
경상북도 영덕군,고령층 교통취약형,영덕황금은어축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
전북특별자치도 무주군,고령층 교통취약형,제14회 무주산골영화제,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
충청남도 천안시 동남구,시설·행사 부족형,2026 천안 K-컬처박람회,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
전북특별자치도 완주군,고령층 교통취약형,전북도립미술관 기증소장품전 《고귀하고 고귀한Ⅲ》,전시,일반·전문,무료·저비용,12.5,가격=무료·저비용; 시간대=주간; 장르=전시; 동일 시군구 (12.9km)
경상북도 예천군,고령층 교통취약형,삼강나루주막축제,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
경기도 안양시 동안구,시설·행사 부족형,제10회 경기국제코스프레페스티벌,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
서울특별시 은평구,시설·행사 부족형,2026 서울라이트 한강 빛섬축제,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
경기도 수원시 영통구,시설·행사 부족형,제30회 부천국제판타스틱영화제,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
전라남도 영광군,고령층 교통취약형,2026 영광법성포단오제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
충청남도 천안시 서북구,시설·행사 부족형,천안흥타령춤축제 2026,공연,일반·전문,무료·저비용,8.0,장르=공연; 가격=무료·저비용; 동일 시도
충청북도 청주시 청원구,시설·행사 부족형,제21회 가을축제,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
경기도 고양시 덕양구,시설·행사 부족형,제28회 국제애니메이션페스티벌,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
경기도 수원시 권선구,시설·행사 부족형,제5회 부천건축문화제,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
경기도 양평군,고령층 교통취약형,2026 지역문화박람회,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
부산광역시 기장군,교통 취약형,기장웰니스관광축제(가칭),공연,일반·전문,무료·저비용,15.0,가격=무료·저비용; 시간대=종일; 장르=공연; 동일 시군구
충청북도 옥천군,고령층 교통취약형,2026 제17회 향수옥천 포도복숭아 축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
부산광역시 연제구,고령층 교통취약형,2025년 박물관 미술관 주간 「뮤지엄&times;만나다」 - 큰이빨부리고래 전신 골격,전시,일반·전문,무료·저비용,11.5,가격=무료·저비용; 시간대=주간; 장르=전시; 동일 시도 (5.3km)
충청북도 청주시 서원구,시설·행사 부족형,2026 국가유산 미디어아트 청주,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
경기도 수원시 장안구,시설·행사 부족형,제40회 별망성예술제,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
경기도 김포시,시설·행사 부족형,김포 아라마린페스티벌,공연,일반·전문,무료·저비용,9.0,장르=공연; 가격=무료·저비용; 동일 시군구
경상남도 함양군,고령층 교통취약형,제23회 함양연암문화제,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
경상남도 함안군,고령층 교통취약형,강주해바라기 축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
충청남도 금산군,고령층 교통취약형,제6회 금산삼계탕축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
울산광역시 북구,시설·행사 부족형,[울산] 깜빡도깨비야 같이 놀자,공연,일반·전문,유료,8.0,장르=공연; 동일 시군구 (4.3km)
전라남도 화순군,고령층 교통취약형,2026 남산공원 로컬힙 프로젝트,축제,일반·전문,무료·저비용,12.5,가격=무료·저비용; 시간대=주간; 장르=축제; 동일 시군구
경상북도 성주군,고령층 교통취약형,2026 성주가야산 황금들녘 메뚜기 축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
경상북도 청송군,고령층 교통취약형,청송백자 축제,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
전북특별자치도 정읍시,고령층 교통취약형,제37회 정읍사문화제,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
서울특별시 강동구,시설·행사 부족형,제31회 강동선사문화축제,공연,일반·전문,무료·저비용,9.0,장르=공연; 가격=무료·저비용; 동일 시군구
경상북도 영양군,고령층 교통취약형,2026년 별빛반딧불이체험축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
충청북도 증평군,고령층 교통취약형,증평인삼골축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
충청남도 계룡시,시설·행사 부족형,2026계룡軍문화축제,공연,일반·전문,무료·저비용,11.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시군구
경기도 안양시 만안구,고령층 교통취약형,2026 안양건축문화제,공연,일반·전문,무료·저비용,11.5,가격=무료·저비용; 시간대=주간; 장르=공연; 동일 시도
전라남도 구례군,고령층 교통취약형,2026 구례동편소리축제,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
충청북도 괴산군,고령층 교통취약형,괴산고추축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
경기도 부천시 오정구,고령층 교통취약형,제4회 음식문화제,공연,일반·전문,무료·저비용,10.5,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시도
서울특별시 중랑구,고령층 교통취약형,중랑 용마폭포축제,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
대구광역시 동구,시설·행사 부족형,제20회 대구국제뮤지컬페스티벌,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
경기도 동두천시,시설·행사 부족형,제26회 동두천 락 페스티벌,공연,일반·전문,무료·저비용,11.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시군구
경상북도 포항시 남구,고령층 교통취약형,제52회 영천문화예술제,공연,일반·전문,무료·저비용,11.5,가격=무료·저비용; 시간대=주간; 장르=공연; 동일 시도
경상남도 의령군,고령층 교통취약형,제5회 의령 리치리치 페스티벌,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
전라남도 해남군,고령층 교통취약형,해남 캠핑관광박람회,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
대구광역시 달서구,균형 관리형,"[대구] 국립오페라단 솔리스트 &amp; 영아티스트 시리즈, 더 오페라(The OPERA) 라 트라비아타 &amp; 마술피리",공연,가족·아동,유료,7.5,대상=가족·아동; 장르=공연; 동일 시군구
경기도 시흥시,시설·행사 부족형,제33회 물왕예술제,공연,일반·전문,무료·저비용,9.0,장르=공연; 가격=무료·저비용; 동일 시군구
충청북도 청주시 흥덕구,시설·행사 부족형,원도심골목길축제<여름:성안이즈백>,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
충청남도 예산군,고령층 교통취약형,제10회 예산장터삼국축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
경기도 안산시 상록구,시설·행사 부족형,2026 안산사이언스밸리(ASV)과학축제,공연,일반·전문,무료·저비용,8.0,장르=공연; 가격=무료·저비용; 동일 시도
경상북도 의성군,고령층 교통취약형,제9회 의성슈퍼푸드마늘축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
서울특별시 강서구,균형 관리형,토요국악동화,공연,가족·아동,유료,7.0,대상=가족·아동; 장르=공연; 동일 시도
경상남도 남해군,고령층 교통취약형,제21회 남해마늘한우 축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
서울특별시 노원구,균형 관리형,동대문문화재단 「브런치 콘서트 아트리움: 국립예술단체 영아티스트 시리즈」,공연,가족·아동,유료,7.0,대상=가족·아동; 장르=공연; 동일 시도 (6.7km)
전북특별자치도 전주시 완산구,고령층 교통취약형,제32회 전국한지공예대전 공모,축제,일반·전문,무료·저비용,12.5,가격=무료·저비용; 시간대=주간; 장르=축제; 동일 시군구
전라남도 무안군,교통 취약형,무안YD 페스티벌,공연,일반·전문,무료·저비용,15.0,가격=무료·저비용; 시간대=종일; 장르=공연; 동일 시군구
전북특별자치도 임실군,고령층 교통취약형,사선문화제,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
경기도 화성시 효행구,시설·행사 부족형,제35회 안양예술제,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
제주특별자치도 제주시,균형 관리형,제18회 솜반천 청소년 문화축제,공연,청소년·교육,무료·저비용,5.5,대상=청소년·교육; 장르=공연; 동일 시도
부산광역시 사상구,시설·행사 부족형,2026 부산국제록페스티벌,공연,일반·전문,무료·저비용,11.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시군구
전라남도 장성군,고령층 교통취약형,2026 장성 황룡강 가을꽃 축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
경상북도 울진군,고령층 교통취약형,2026 죽변항 수산물축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
경상남도 창원시 진해구,시설·행사 부족형,문화다양성축제 MAMF(맘프) 2026,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
경기도 성남시 중원구,고령층 교통취약형,안양 음식문화축제,공연,일반·전문,무료·저비용,10.5,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시도
충청남도 서천군,고령층 교통취약형,춘장대해수욕장 여름문화예술 축제,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
충청남도 부여군,고령층 교통취약형,제24회 부여서동연꽃축제,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
부산광역시 사하구,시설·행사 부족형,제30회 부산바다축제,공연,일반·전문,무료·저비용,9.0,장르=공연; 가격=무료·저비용; 동일 시군구
서울특별시 구로구,시설·행사 부족형,제10회 프랑스문화축제,공연,일반·전문,무료·저비용,11.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시군구
경기도 안산시 단원구,시설·행사 부족형,2026 안양춤축제,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
강원특별자치도 동해시,시설·행사 부족형,제8회 묵호등대 논골담길 축제,공연,일반·전문,무료·저비용,11.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시군구
경기도 화성시 병점구,시설·행사 부족형,거북섬 써머비트 페스티벌,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
울산광역시 울주군,고령층 교통취약형,2025년 어린이실 테마전시 &#39;반구천의 암각화로 놀러 와!&#39;,전시,가족·아동,무료·저비용,12.5,가격=무료·저비용; 시간대=주간; 장르=전시; 동일 시군구 (29.6km)
경기도 연천군,고령층 교통취약형,2026년 임진강 댑싸리정원 개장,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
경상북도 상주시,시설·행사 부족형,만화웹툰페스티벌(전국 중고등 웹툰왕전),공연,일반·전문,무료·저비용,9.0,장르=공연; 가격=무료·저비용; 동일 시군구
충청남도 홍성군,고령층 교통취약형,"고암이응노생가기념관 교육전시 《같이, 다르게》",전시,일반·전문,무료·저비용,12.5,가격=무료·저비용; 시간대=주간; 장르=전시; 동일 시군구 (17.5km)
전북특별자치도 순창군,고령층 교통취약형,2026 순창 미리크리스마스,공연,일반·전문,무료·저비용,12.5,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
서울특별시 송파구,균형 관리형,서울시립 서서울미술관 개관 특별 미디어 소장품전 《서서울의 투명한 | 청소년 | 기계》,전시,청소년·교육,무료·저비용,7.5,대상=청소년·교육; 장르=전시; 동일 시도 (20.0km)
경기도 부천시 소사구,고령층 교통취약형,2026 파주포크페스티벌,공연,일반·전문,무료·저비용,10.5,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시도
경상남도 거제시,시설·행사 부족형,2026년 거제 맥주축제,공연,일반·전문,무료·저비용,9.0,장르=공연; 가격=무료·저비용; 동일 시군구
전라남도 진도군,고령층 교통취약형,2026 진도국제무형문화축전,공연,일반·전문,무료·저비용,12.5,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
강원특별자치도 태백시,시설·행사 부족형,춘천호수정원페스타,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
경기도 부천시 원미구,시설·행사 부족형,DMA국제다큐멘터리영화제,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
인천광역시 남동구,시설·행사 부족형,인천시립소년소녀합창단 제4회 정기연주회: FRIENDLY CONCERT,공연,일반·전문,유료,8.0,장르=공연; 동일 시군구
강원특별자치도 정선군,고령층 교통취약형,[정선] 국립현대미술관 미술은행 소장품전  「삶과 풍경의 미학」,전시,일반·전문,무료·저비용,12.5,가격=무료·저비용; 시간대=주간; 장르=전시; 동일 시군구 (7.7km)
충청북도 진천군,시설·행사 부족형,제26회 생거진천 농다리축제,공연,일반·전문,무료·저비용,11.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시군구
인천광역시 계양구,시설·행사 부족형,제21회 인천 펜타포트 음악축제,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
강원특별자치도 양구군,고령층 교통취약형,2026  국토정중앙 청춘양구 배꼽축제,공연,일반·전문,무료·저비용,14.0,가격=무료·저비용; 장르=공연; 시간대=종일; 동일 시군구
전북특별자치도 익산시,교통 취약형,제8회 K-김장문화축제 익산,축제,일반·전문,무료·저비용,14.5,가격=무료·저비용; 시간대=종일; 장르=축제; 동일 시군구
경상북도 영주시,균형 관리형,[용인] 토요키즈클래식 (상반기),공연,가족·아동,유료,5.5,대상=가족·아동; 장르=공연; 타 시도
경기도 성남시 수정구,시설·행사 부족형,제8회 운정호수공원 불꽃축제,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
경기도 의정부시,균형 관리형,동대문문화재단 「브런치 콘서트 아트리움: 국립예술단체 영아티스트 시리즈」,공연,가족·아동,유료,8.5,대상=가족·아동; 장르=공연; 타 시도 (13.0km)
경기도 용인시 기흥구,시설·행사 부족형,2026 헤이리 판 페스티벌,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
경기도 광주시,시설·행사 부족형,[경기 광주] 광주이야기 4편,공연,일반·전문,유료,8.0,장르=공연; 동일 시군구
경기도 고양시 일산동구,시설·행사 부족형,파주 페어 북앤컬처,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
경상남도 밀양시,시설·행사 부족형,제26회 밀양공연예술축제,공연,일반·전문,무료·저비용,9.0,장르=공연; 가격=무료·저비용; 동일 시군구
경기도 화성시 만세구,시설·행사 부족형,금촌거리문화 축제,공연,일반·전문,무료·저비용,10.5,장르=공연; 가격=무료·저비용; 시간대=종일; 동일 시도
울산광역시 동구,시설·행사 부족형,"[울산] 샌드아트로 즐기는 문학이 잇는 클래식 제2막, 피터와 늑대",공연,일반·전문,유료,8.0,장르=공연; 동일 시도 (10.4km)
전북특별자치도 진안군,고령층 교통취약형,제16회 진안고원 수박축제,체험·교육,일반·전문,무료·저비용,12.0,가격=무료·저비용; 장르=체험·교육; 시간대=종일; 동일 시군구
